entity;label
Q182565;Phuket
Q207068;Chon Buri
Q233588;Chiang Mai
Q235574;Songkhla
Q236263;Satun
Q236419;Chiang Rai
Q236769;Krabi
Q236781;Pattani
Q236802;Ranong
Q237874;Phichit
Q239844;Nakhon Sawan
Q240463;Surat Thani
Q240495;Lampang
Q240520;Phetchabun
Q240540;Lamphun
Q241884;Trat
Q242932;Nonthaburi
Q242977;Yala
Q243791;Amnat Charoen
Q243795;Ang Thong
Q243805;Trang
Q243808;Phatthalung
Q244618;Phayao
Q244628;Prachuap Khiri Khan
Q244649;Uthai Thani
Q244652;Phrae
Q244691;Nakhon Si Thammarat
Q244695;Chumphon
Q244698;Nan
Q244699;Phetchaburi
Q261241;Nong Bua Lam Phu
Q269270;Mae Hong Son
Q271442;Narathiwat
Q271529;Samut Prakan
Q271737;Nakhon Ratchasima
Q272247;Suphanburi
Q273306;Phang Nga
Q273794;Uttaradit
Q273807;Kamphaeng Phet
Q275377;Chaiyaphum
Q275388;Loei
Q275740;Kanchanaburi
Q275758;Tak
Q275781;Phitsanulok
Q321324;Prachin Buri
Q327510;Buri Ram
Q327533;Khon Kaen
Q327730;Chanthaburi
Q327737;Nong Khai
Q334686;Samut Sakhon
Q334836;Sing Buri
Q334841;Nakhon Pathom
Q334906;Chachoengsao
Q335119;Mukdahan
Q335221;Rayong
Q335492;Ratchaburi
Q336122;Lopburi
Q337627;Saraburi
Q380752;Udon Thani
Q380757;Surin
Q380761;Si Sa Ket
Q380764;Sukhothai
Q381889;Sa Kaeo
Q382125;Sakon Nakhon
Q382144;Kalasin
Q459742;Samut Songkhram
Q459748;Pathum Thani
Q459759;Chai Nat
Q466212;Nakhon Nayok
Q468547;Nakhon Phanom
Q468554;Maha Sarakham
Q476222;Phra Nakhon Si Ayutthaya
Q506598;Yasothon
Q625463;Roi Et
Q629024;Ubon Ratchathani
Q1001862;Bueng Kan
Q6398656;Template:Provinces of Thailand
Q7530902;Sisophon Province
Q7659554;Sai Buri
Q13014089;Khu Khan
Q13014097;Thanyaburi
Q13014099;Nakhon Champasak
Q13014100;Takua Pa
Q13014101;Thon Buri
Q13014104;Phibun Songkhram
Q13014108;Phra Pra Daeng
Q13014111;Phra Nakhon
Q13014113;Lan Chang
Q13014115;Min Buri
Q13014123;Sawankhalok
Q13014124;Lom Sak
Q13014127;Lang Suan
Q15631833;Kabin Buri
Q15647332;Phra Tabong Province
Q44163553;Syburi
